#|
Ausführen|Go!
dorf|village
Nach einem Flugzeugabsturz stellst du fest, dass du der einzige Überlebende bist. Du landest auf einer Insel, erkundest sie und findest einige Dörfer:|After being involved in an air crash, you will soon realize you are the only survivor. You are now stuck on an island and will explore its villages:
dorfnr|villageid
name|name
haeuptling|chief
Du triffst während deiner Erkundung auf viele Bewohner der Insel. Welche?|You meet a lot of people along the way. Who?
bewohner|inhabitant
Deine Erkundung hat dich hungrig gemacht. Lass uns eine Metzgerei suchen und eine Gratis-Wurstscheibe schnorren!|Your journey has made you hungry. Let's find a butcher and ask him for free sausages.
bewohnernr|personid
geschlecht|gender
Juhu, Erich gibt uns eine Scheibe Wurst! Bei deiner weiteren Reise solltest du jedoch beachten, dass nicht alle Bewohner friedlich sind. Da du nicht bewaffnet bist, solltest du dich zunächst von den bösen Bewohnern fernhalten. Welche Bewohner sind friedlich?|Hooray! Edward provides you with some free pork. But not everyone is as friendly on this island. Some are evil. As long as you are unarmed, stay away from villains. How can you tell who is friendly?
beruf|job
Sehr gut! Nun suche dir einen friedlichen Waffenschmied, der dir ein Schwert schmieden kann. (Hinweis: Bedingungen im WHERE-Teil kannst du mit AND verknüpfen)|Very well! Now, in order to get yourself a sword, seek a friendly weaponsmith to make you one. (Hint: You can combine predicates in the WHERE clause with an AND)
gold|gold
status|state
Hm, das sind sehr wenige. Vielleicht gibt es noch andere Schmiede, z.B. Hufschmied, Schmied, Waffenschmied, etc. Probiere beruf LIKE '%schmied', um alle Bewohner zu finden, deren Beruf mit 'schmied' endet (% ist ein Platzhalter für beliebig viele Zeichen).|Oh, that does not look good. Maybe other friendly smiths can help you out, e.g. a blacksmith. Try out: job LIKE '%smith' to find all inhabitants whose job ends with 'smith' (% is a wildcard for any number of characters).
gegenstand|item
Sehr gut! Diese Schmiede kommen alle in Frage. Du gehst sie nacheinader besuchen, um sie zu fragen, ob sie dir ein Schwert schmieden können.<br>Während deiner Erkundungstour triffst du auf Paul, einen Bürgermeister. Er trägt dich als Bewohner in sein Dorf ein. Da er dich nicht nach deinem Namen gefragt hat, nennt er dich &quot;Fremder&quot;.|Great! All the smiths can help you. Now you visit each and every one of them and ask them to give an estimate for a sword. During your mission, you encounter Paul who is the major of the village Monkeycity. He signs you in as an inhabitant. He never asked for your name, so from now you are referred to as 'Stranger'.
besitzer|owner
Neustart|Restart
Finde deine bewohnernr heraus! (Tipp: Der * in den vorherigen Abfragen stand immer für &quot;alle Spalten&quot;. Stattdessen kannst du aber auch einen oder mehrere mit Komma getrennte Spaltennamen angeben.|Find out your personid! (Hint: In former queries, the * stands for: all columns. Instead of the star, you can name one or more columns (seperated by a comma) and you will only get the columns you need.)
Spiel wirklich neustarten?|Do you really want to restart the game?
Nun besuchst du einen der Schmiede, die du dir rausgesucht hast. Er sagt dir, dass ein Schwert 150 Gold kostet. Wie viel Gold hast du momentan?|You choose a smith to make a sword for you for 150 gold. How much gold do you have?
Mist! Um an Gold zu kommen, müsstest du arbeiten... Obwohl! Man erzählt sich, dass auf der Insel viele Gegenstände herumliegen, die niemandem gehören. Diese Gegenstände kannst du einsammeln und an Händler verkaufen. Liste alle Gegenstände auf, die niemandem gehören. Tipp: Herrenlose Gegenstände erkennt man an WHERE besitzer IS NULL.|Damn! No mon, no fun. There needs to be another option to earn gold than to go to work. Why don't you collect ownerless items and sell them? Can you list all items that have no owner? (Hint: You can recognize ownerless items by: WHERE owner IS NULL)
Lasst uns die Kaffeetasse einsammeln. Eine Kaffeetasse kann man immer mal gebrauchen.|Yay, a coffee cup. Let's collect it!
Kennst du einen Trick, wie wir alle Gegenstände auf einmal einsammeln können, die niemandem gehören?|Do you know a trick how to collect all the ownerless items?
Yeah! Zeige mir nun alle Gegenstände, die wir haben!|Hooray! Now list all of the items you have!
Finde friedliche Bewohner mit dem Beruf Haendler oder Kaufmann. Eventuell möchten sie etwas von uns kaufen. (Hinweis: Achte bei AND- und OR-Verknüpfungen auf korrekte Klammerung)|Find a friendly inhabitant who is either a dealer or a merchant. Maybe they want to buy some of your items. (Hint: When you use both AND and OR, don't forget to put brackets correctly!)
Du besuchst alle diese Händler und Kaufleute. Sie finden, du besitzt nur Schrott. Lediglich Helga Rasenkopf mit der Bewohnernummer 15 ist an dem Ring und der Teekanne interessiert. Gib ihr die beiden Gegenstände!|Every dealer and merchant you visit believe that all your items are scrap. Only Helen Grasshead with personid 15 wants to have the ring and the teapot. Give the two items to her!
Sehr gut! Helga gibt dir einen Haufen Gold!|Very cool, Helen gives you some gold!
Leider reicht das noch nicht für ein Schwert. Dann musst du wohl doch arbeiten. Bevor du dich jedoch irgendwo bewirbst, solltest du vielleicht deinen Namen von Fremder auf deinen richtigen Namen ändern, ansonsten wird dich niemand einstellen.|Unfortunately, that's not enough gold to buy a sword. Seems like you do have to work after all. Maybe it's not a bad idea to change your name from Stranger to your real name before you apply for a job.
In deiner Freizeit backst du gerne. Wie wäre es, wenn du dir ein bisschen Geld als Bäcker verdienst? Liste zunächst alle Bäcker auf. Mit ORDER BY gold kannst du die Liste sortieren, mit ORDER BY gold DESC steht sogar der reichste Bäcker oben.|Since baking is one of your hobbies, why not find a baker who you can work for. List all bakers and use 'ORDER BY gold' to sort the results. 'ORDER BY gold DESC' is even better because then the richest baker is on top.
%%%PLAYER_NAME%%%: "Hey Paul, kann ich bei dir als Bäcker arbeiten?"<br>Paul: "Öh, na klar, %%%PLAYER_NAME%%%! Ich zahle dir pro hundert Brötchen, die du mir backst 1 Gold."<br>8 Stunden später...<br>%%%PLAYER_NAME%%%: "Hier bittesehr, zehntausend Brötchen!"<br>Paul: "Okay..., hier hast du 100 Gold, als nächstes..."<br>%%%PLAYER_NAME%%%: "Ich kündige! Ich habe nun genug Gold, um mir ein Schwert zu kaufen!".<br>Schauen wir, was mit deinem Kontostand passiert:|%%%PLAYER_NAME%%%: "Hey Paul, would like to work in your bakery!"<br>Paul: "Eh, sure, %%%PLAYER_NAME%%%! You will be paied 1 gold for every one hundred bread rolls you bake."<br>8 hours later...<br>%%%PLAYER_NAME%%%: "Here, ten thousand bread rolls!"<br>Paul: "Okay..., here you have 100 gold. Continue with..."<br>%%%PLAYER_NAME%%%: "No, I quit! I've got enough money now to buy a sword.".<br>Let's see what happens with your gold balance:
Ernst Peng: "Hier ist dein neues Schwert! Nun kannst du überall hin!"|Ernest Perry: "Here's your new sword! Now you can go everywhere."
Gibt es auf der Insel einen Piloten? Er könnte dich nach Hause fliegen?|Is there a pilot on this island? He could fly you home.
Oh, er hat den Status 'gefangen'. Du erfährst von anderen Bewohnern, dass Dirty Dieter ihn gefangen hält. Ich kenne einen Trick, wie wir schnell herausfinden können, in welchem Dorf Dirty Dieter wohnt:|Oh no, his state is 'kidnapped'. An inhabitant tells you that he is held captive by Dirty Dieter. I know a trick how to find out the name of the village where Dirty Dieter lives.
Auf diese Weise suchen wir das Dorf mit der Dorf-Nummer, die bei Dirty Dieter im Feld dorfnr steht. Ein solch genialer Ausdruck nennt sich Verbund oder Join. Wir müssen nun den Häuptling des Dorfes Zwiebelhausen herausfinden. Hinweis: Im Feld haeuptling der Tabelle dorf steht eine bewohnernr.|The expression presented here is called a join. It combines the information of the inhabitant table with information of the village table by matching villageid values. Now use the join to find out the chief's name of the village Onionville. (Hint: In the column 'chief' in the village table, the personid of the chief is stored)
Sehr gut! Jetzt gehen wir Fritz besuchen, um ihn nach Dirty Dieter und dem Piloten zu fragen. Unterwegs überlegen wir uns, wie viele Einwohner Zwiebelhausen eigentlich hat:|Very good! Now we visit Fred and ask him about Dirty Dieter and the pilot. Along the way, you wonder how many inhabitants Onionville has:
Fritz sagt uns, dass Dirty Dieter den Piloten im Haus seiner Schwester gefangen hält. Wie viele Frauen gibt es in Zwiebelhausen? (Hinweis: Frauen erkennt man an geschlecht = 'w')|Fritz mentioned that the pilot is held captive by Dirty Dieter in his sister's house. How many women are there in Onionville? (Hint: Women show up as gender = 'f')
Oh, nur eine Frau. Wie heißt sie?|Oh, only one woman. What's her name?
Im Haus von Dirty Dörthe findest du Dirty Dieter, Dirty Dörthe und den Piloten.<br>Dirty Dieter: "%%%PLAYER_NAME%%%, gib mir alles Gold, was die Bewohner von unserem Nachbardorf Gurkendorf zusammen besitzen und ich lasse den Piloten frei".<br>Mal schauen wie viel Gold das ist:|In Dirty Diane's house you find Dirty Dieter, Dirty Diane and the pilot.<br>Dirty Dieter: "%%%PLAYER_NAME%%%, hand me over the entire property of our nearby village Cucumbertown and I will release the pilot."<br>Let's see how much that is:
So viel Gold wirst du niemals allein durch Brötchenbacken verdienen können. Wir müssen uns was anderes einfallen lassen. Wenn wir Gegenstände sammeln und verkaufen und zusätzlich noch als Bäcker arbeiten, können wir maximal so viel Gold bekommen, wie die Händler, Kaufmänner und Bäcker zusammen besitzen. Wie viel ist das?|Oh no, baking bread is surely not the solution to your problems. If you continued working and selling items, you could not earn more than the gold inventories of all bakers, dealers and merchants altogether. How much gold is that?
Das ist viel zu wenig. Schauen wir mal die gesamten sowie durchschnittlichen Goldvorräte der einzelnen Berufe an:|That's not enough. Let's have a look how much gold people have depending on their job on average:
Interessant, die Metzger haben also das meiste Gold. Warum auch immer... Wie viel Gold haben im Durchschnitt die einzelnen Bewohnergruppen je nach Status (friedlich, böse, gefangen)?|Very interesting: For some reason, butchers own the most gold. How much gold do the different inhabitants have on average depending on their state (friendly, ...)?
Okay, wir müssten also die bösen Bewohner ausrauben. Dann können wir auch gleich Dirty Dieter mit dem Schwert töten und den Piloten befreien:|Okay, that means you have to mug the villains. Or you might as well go ahead and simply kill Dirty Dieter with your sword:
Oh oh, jetzt ist Dirty Dörthe sauer. Was tun wir da?|Oh oh, now Dirty Diane is angry. Do something!
Sehr gut! Befreie nun den Piloten!|Very good! Now release the pilot!
Der Pilot dankt dir und fliegt dich nach Hause. Als Andenken nimmst du dein Schwert, ein bisschen Gold und die nutzlosen Gegenstände mit nach Hause. Was für ein Abenteuer!|As thanks for releasing him, the pilot flies you home. You take your sword, some gold and lots of useless items with you as a souvenir. What a big adventure!
Metzger|butcher
Affenstadt|Monkeycity
Gurkendorf|Cucumbertown
Zwiebelhausen|Onionville
Paul Backmann|Paul Bakerman
m|m
Baecker|baker
friedlich|friendly
Ernst Peng|Ernest Perry
Waffenschmied|weaponsmith
Rita Ochse|Rita Ox
w|f
Carl Ochse|Carl Ox
Kaufmann|merchant
Dirty Dieter|Dirty Dieter
Schmied|smith
boese|evil
Gerd Schlachter|Gerry Slaughterer
Peter Schlachter|Peter Slaughterer
Arthur Schneiderpaule|Arthur Tailor
Pilot|pilot
gefangen|kidnapped
Tanja Trommler|Tiffany Drummer
Peter Trommler|Peter Drummer
Dirty Doerthe|Dirty Diane
Erntehelfer|farmer
Otto Armleuchter|Otto Alexander
Fritz Dichter|Fred Dix
Hoerbuchautor|author
Enrico Zimmermann|Enrico Carpenter
Helga Rasenkopf|Helen Grasshead
Irene Hutmacher|Ivy Hatter
Erich Rasenkopf|Edward Grasshead
Rudolf Gaul|Ryan Horse
Hufschmied|blacksmith
Anna Flysh|Ann Meaty
Teekanne|teapot
Spazierstock|cane
Hammer|hammer
Ring|ring
Kaffeetasse|coffee cup
Eimer|bucket
Seil|rope
Pappkarton|carton
Gluehbirne|lightbulb
Fremder|Stranger
OK|OK
Yeah|Yeah
Es kommen zu viele Zeilen raus.|These are too many rows.
Die Spalten sind falsch.|Wrong columns
Fehler|Error
Da fehlen noch ein Paar Zeilen.|Some rows are missing
Hinweis: Achte bei Werten, die in Anführungszeichen stehen, auf Groß-/Kleinschreibung.|Hint: Values in quotation marks are case-sensitive.
Weiter|Continue
Das Spiel ist zu Ende.|The game is over.
schmied|smith
Erlaubt sind nur SELECT-, INSERT-, UPDATE- und DELETE-Anfragen.|Only SELECT, INSERT, UPDATE and DELETE queries are allowed.
Es kommen falsche Zeilen raus.|The result is incorrect.
Haendler|dealer
Aber was machst du da eigentlich?|But what are you doing there?
Oh oh... Entweder du hast zu viele oder zu wenige Änderungen durchgeführt.|Oh oh... Either you changed too much or too few.
Schwert|sword
INSERT-SELECT-Kombinationen sind hier nicht erlaubt.|INSERT-SELECT combinations are not allowed.
Schreibe deine SQL-Anfrage hier hinein|
Hui, was ist passiert? Es scheint, als habe ich als einziger den Flugzeugabsturz überlebt. Gut, dass ich auf dieser Insel gelandet bin. Hier gibt es ja sogar ein paar Dörfer.|
Und jede Menge Bewohner gibt es hier auch. Zeige mir die Liste der Bewohner.|
Wow, hier ist einiges los!|
Mensch, was bin ich hungrig. Ich suche mir erst einmal einen Metzger, bei dem ich eine Scheibe Wurst schnorren kann.|
Hier, lass es dir schmecken! Und pass bei deiner Reise gut auf, dass du dich von bösen Bewohnern fern hälst, solange du unbewaffnet bist. Denn nicht jeder hier ist friedlich!|
Danke Erich! Nagut, dann muss ich mal schauen, welche Bewohner friedlich sind.|
Früher oder später brauche ich aber ein Schwert. Lasst uns einen friedlichen Waffenschmied suchen, der mir ein Schwert schmieden kann. (Hinweis: Bedingungen im WHERE-Teil kannst du mit AND verknüpfen)|
Das sieht schon besser aus! Diese Schmiede kommen alle in Frage. Ich gehe sie dann mal nacheinander besuchen.|
Hallo Fremder, wohin des Wegs? Ich bin Paul, der Bürgermeister von Affenstadt. Ich trage dich gerne als Bewohner meines Dorfes ein.|
Hey, nenn mich doch nicht Fremder! Naja, egal. Wie ist eigentlich meine bewohnernr? (Tipp: Der * in den vorherigen Abfragen stand immer für 'alle Spalten'. Stattdessen kannst du aber auch einen oder mehrere mit Komma getrennte Spaltennamen angeben.|
Hallo Ernst! Was kostet bei dir ein Schwert?|
Ich schmiede dir ein Schwert für nur 150 Gold. Billiger bekommst du es nirgendwo! Wie viel Gold hast du momentan?|
Mist, ich habe ja noch gar kein Gold. Ich habe aber auch keine Lust dafür arbeiten zu gehen. Hmmm, vorhin habe ich viele Gegenstände herumliegen gesehen, die niemandem gehören. Diese Gegenstände könnte ich einsammeln und an Händler verkaufen. Liste alle Gegenstände auf, die niemandem gehören. Tipp: Herrenlose Gegenstände erkennt man an WHERE besitzer IS NULL.|
So viele tolle Sachen!|
Jawoll! Welche Gegenstände besitze ich nun?|
Ich interessiere mich für den Ring und die Teekanne. Der Rest ist alles Schrott. Gib mir bitte die beiden Gegenstände. Meine Bewohnernummer ist übrigens 15.|
Dankeschön!|
Hier hast du einen Haufen Gold!|
Leider reicht das noch nicht für ein Schwert. Dann muss ich wohl doch arbeiten. Bevor ich mich jedoch irgendwo bewerbe, solltest ich vielleicht meinen Namen von Fremder auf meinen richtigen Namen ändern, ansonsten wird mich niemand einstellen.|
In meiner Freizeit backe ich gerne. Ich glaube, ich verdiene mir ein bisschen Geld als Bäcker. Zeige mir alle Bäcker. Tipp: Mit ORDER BY gold kannst du die Liste sortieren, mit ORDER BY gold DESC steht sogar der reichste Bäcker oben.|
Ach, der Paul! Den kenn ich doch!|
Hi, da bist du ja wieder! Soso, %%%PLAYER_NAME%%% heißt du also. Und du willst als Bäcker arbeiten? Da sag ich nicht nein. Ich zahle dir pro hundert Brötchen, die du mir bäckst, 1 Gold.|
(8 Stunden später...) Hier bittesehr, zehntausend Brötchen! Ich kündige! Ich habe nun genug Gold, um mir ein Schwert zu kaufen! Mal schauen, was jetzt mit meinem Kontostand passiert.|
Hier ist dein neues Schwert, %%%PLAYER_NAME_FUNNY%%%! Nun kannst du überall hin!|
Ich heiße %%%PLAYER_NAME%%%! Aber trotzdem danke.|
Gibt es auf der Insel einen Piloten? Er könnte mich nach Hause fliegen.|
Oh, er hat den Status 'gefangen'.|
Es ist schrecklich! Dirty Dieter hält den Piloten gefangen! Ich verrate dir einen Trick, wie wir schnell herausfinden können, in welchem Dorf Dirty Dieter wohnt.|
Auf diese Weise kannst du das Dorf mit der Dorf-Nummer suchen, die bei Dirty Dieter im Feld dorfnr steht. Ein solch genialer Ausdruck nennt sich Verbund oder Join.|
Danke für den Tipp. Dann suche ich erst einmal den Häuptling des Dorfes Zwiebelhausen. Im Feld haeuptling der Tabelle dorf steht ja die bewohnernr des Häuptlings des jeweiligen Dorfes.|
Juhu! Ich hab's! Dann gehe ich mal Fritz besuchen, um ihn nach Dirty Dieter und dem Piloten zu fragen.|
Hm, wie viele Einwohner hat eigentlich Zwiebelhausen?|
Hallo %%%PLAYER_NAME%%%, Dirty Dieter hält den Piloten im Haus seiner Schwester gefangen. Soll ich dir verraten, wie viele Frauen es in Zwiebelhausen gibt? Ach was, das kannst du schon selbst herausfinden! (Hinweis: Frauen erkennt man an geschlecht = 'w')|
Ha, nur eine Frau. Mal schauen, wie sie heißt.|
So! Dann gehe ich jetzt da hin!|
%%%PLAYER_NAME%%%, gib mir alles Gold, was die Bewohner von unserem Nachbardorf Gurkendorf zusammen besitzen und ich lasse den Piloten frei! Du willst wissen, wie viel das ist? Ich zeige es dir!|
So viel Gold werde ich niemals allein durch Brötchenbacken verdienen können. Ich muss mir etwas anderes einfallen lassen. Wenn ich Gegenstände verkaufe und zusätzlich noch als Bäcker arbeite, kann ich maximal so viel Gold bekommen, wie die Händler, Kaufmänner und Bäcker zusammen besitzen. Wie viel ist das?|
Das ist viel zu wenig.|
Schauen wir mal die gesamten sowie durchschnittlichen Goldvorräte der einzelnen Berufe an.|
Okay, ich muss also die bösen Bewohner ausrauben.|
Dann kann ich auch gleich Dirty Dieter mit dem Schwert töten und den Piloten befreien.|
Heeeey! Jetzt bin ich aber sauer! Was tust du wohl als nächstes, %%%PLAYER_NAME%%%?|
Yeah! Jetzt muss ich nur noch den Piloten befreien.|
Vielen vielen Dank, %%%PLAYER_NAME%%%! Jetzt fliege ich dich nach Hause.|
Juhu! Und als Andenke nehme ich mein Schwert, ein bisschen Gold und die nutzlosen Gegenstände mit nach Hause. Was für ein Abenteuer!|
Nach einem Flugzeugabsturz stellst du fest, dass du der einzige Überlebende bist. Du landest auf der Insel SQL Island und das Ziel des Spiels ist es, von dieser Insel zu entkommen.|
Zurück|
Hier wirst du nachher die Spielbefehle eingeben. Du steuerst das komplette Spiel mit Kommandos aus der Datenbanksprache SQL.|
Du kannst kein SQL? Keine Angst, hier werden dir im Laufe des Spiels die einzelnen Kommandos gezeigt.|
Hier unten steht, welche Tabellen es gibt: Dorf, Bewohner und Gegenstand. In Klammern stehen die Spaltennamen der Tabellen. Diese Infos wirst du im Spiel ganz oft brauchen!|
Los geht's!|
Über diesen Menü-Knopf kannst du das Spiel neustarten oder dir diese Anleitung noch einmal anschauen. Aber genug geredet, lasst uns anfangen!|
